"id","cost","status"
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,0.32455,0
13,0.53582,0
14,0.63886,0
15,0.36943,0
16,0.25029,0
17,0.20909,0
18,0.10006,0
19,0.9008,0
20,0.06167,0
21,0.0663,0
22,0.10209,0
23,0.34267,0
24,0.50256,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,0.97094,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,0.16708,0
67,0.19496,0
68,0.76641,0
69,0.04077,0
70,0.08572,0
71,0.40731,0
72,0.70532,0
73,0.88001,0
74,1,0
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,0.99952,0
100,0.76405,0
101,0.24056,0
102,0.07043,0
103,0.93888,0
104,1,0
105,1,0
106,1,0
107,0.36537,0
108,0.09709,0
109,0.782,0
110,0.99772,0
111,0.98912,0
112,0.60265,0
113,0.68107,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,0.66544,0
120,0.03032,0
121,0.24742,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,0.3173,0
138,0.83813,0
139,1,0
140,0.87124,0
141,0.21523,0
142,0.4643,0
143,1,0
144,0.63934,0
145,0.08185,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,0.58623,0
167,0.60618,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
